漢字	音読み	訓読み	画数	部首	異体字	れい	例	
裁	サイ	さば(く)、た(つ)	12	衣,ころも		さいばん、さいほう、さいけつ	裁判、裁縫、裁決	
策	サク		12	𥫗,たけかんむり		たいさく、せいさく	対策、政策	
冊	サツ、サク		5	冂,けいがまえ,まきがまえ,どうがまえ,えんがまえ		ほんさつ、さっし、本いっさつ・2さつ	本冊、冊子、本一冊・2冊	
蚕	サン	かいこ	10	虫,むし	蠶	さんし、ようさん	蚕糸、養蚕	
至	シ	いた(る)	6	至,いたる		しきゅう、ひっし	至急、必至	
私	シ	し(ぬ)	6	歹,かばねへん		しきょ、しけい、ししゃ	死去、死刑、死者	
姿	シ	すがた	9	女,おんな		しせい、ようし、うしろすがた	姿勢、容姿、後ろ姿	
視	シ		11	見,みる		しせん、むし、しちょうりつ	視線、無視、視聴率	
詞	シ		12	訁,ごんべん		めいし、どうし、じょし、けいようし	名詞、動詞、助詞、形容詞	
誌	シ		14	訁,ごんべん		ざっし、にっし	雑誌、日誌	
磁	ジ		14	石,いしへん		じしゃく	磁石	
射	シャ	い(る)、さ(す)	10	寸,すん		ちゅうしゃ、はんしゃ、しゃげき、しゃさつ	注射、反射、射撃、射殺	
捨	シャ	す(てる)	11	扌,てへん		ししゃごにゅう、よびすて、みすてる	四捨五入、呼び捨て、見捨てる	
尺	シャク		4	尸,しかばね		しゃくはち	尺八	
若	ジャク、ニャク	わか(い)、も(しくは)	8	艹,くさかんむり		わかもの、じゃっかん、ろうにゃく	若者、老若、老若	
樹	ジュ		16	木,きへん	树(中)	じゅりん、じゅもく	樹林、樹木	
収	ショウ	おさ(める)、おさ(まる)	4	又,また		しゅうにゅう、しゅうしゅう、かいしゅう	収入、収集、回収	
宗	シュウ、ソウ		8	宀,うかんむり		しゅうきょう、しゅうは、そうけ	宗教、宗派、宗家	
就	シュウ、ジュ	つ(く)、つ(ける)	12	尢,だいのまげあし		しゅうしょく、しゅうにん	就職、就任	
衆	シュウ、シュ		12	血,ち		こうしゅう、ちょうしゅう、みんしゅう	公衆、聴衆、民衆	
従	ジュウ、ジュ、ショウ	したが(う)、したが(える)	10	彳,ぎょうにんべん		じゅうらい、じゅうじ、じゅうぞく、いとこ	従来、従事、従属、従弟	
縦	ジュウ	たて	16	糹,いとへん		たてがき、そうじゅう、じゅうだん	縦書き、操縦、縦断	
縮	シュク	ちぢ(む)、ちぢ(める)	17	糹,いとへん		しゅくしょう、あっしゅく、きょうしゅく	縮小、圧縮、恐縮	
熟	ジュク	う(れる)、こな(す)	15	灬,れんが,れっか		じゅくご、そうじゅく、みじゅく	熟語、早熟、未熟	
純	ジュン		10	糹,いとへん		じゅんすい、じゅんじょう、たんじゅん	純粋、純情、単純	
処	ショ		5	几 - つくえ		しょぶん、しょり、しょけい、しょじょ、しょち	処分、処理、処刑、処女、処置	
署	ショ		13	罒,あみがしら		～しょ、けいさつしょ、しょめい、しょちょう	～署、警察署、署名、署長	
諸	ショ		15	訁,ごんべん		しょくん、しょこく、しょとう	諸君、諸国、諸島	
除	ジョ、ジ	のぞ(く)	10	阜阝,こざとへん		じょがい、かいじょ、さくじょ、はいじょ	除外、解除、削除、排除	
将	ショウ		10	寸,すん		しょうらい、しょうぐん、しょうぎ	将来、将軍、将棋	
傷	ショウ	きず、いた(む)、いた(める)	13	亻,にんべん		しょうがい、ちゅうしょう、けいしょう	傷害、中傷、軽傷	
障	ショウ	さわ(る)	14	阜阝,こざとへん		しょうがい、こしょう、〜ざわり	障害、故障、〜障り	
城	ジョウ	しろ	9	土,つち		(お)しろ、じょうかまち、じょうない、じょうしゅ	お城、城下町、城内、城主	
蒸	ジョウ	む(す)、む(らす)、む(れる)	13	艹,くさかんむり		じょうはつ、むしあつい、すいじょうき	蒸発、蒸し暑い、水蒸気	
針	シン	はり	10	釒,かねへん		ほうしん、はりがね、けんしん	方針、針金、検針	
仁	ジン、二		4	亻,にんべん		じんぎ、におう、じんあい	仁義、仁王、仁愛	
垂	スイ	た(らす)、た(れる)	8	土,つち		すいちょく、あまだれ、けんすい	垂直、雨垂れ、懸垂	
推	スイ	お(す)	11	扌,てへん		すいしん、すいせん、すいそく、すいてい、すいり	推進、推薦、推測、推定、推理	
寸	スン		3	寸,すん		すんぽう、すんぜん、いっすん	寸法、寸前、一寸	
